tag	rep	length	Time	Algorithm	WGD
no_wgd_legacy	24	40	0.20064496994018555	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	60	0.33986973762512207	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	80	0.4409050941467285	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	100	0.49573659896850586	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	120	0.6531460285186768	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	140	0.7568049430847168	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	160	0.8366105556488037	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	180	1.0370988845825195	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	24	200	1.1625685691833496	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	20	0.14957094192504883	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	40	0.21006989479064941	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	60	0.3243124485015869	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	80	0.44420361518859863	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	100	0.49092769622802734	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	120	0.601841926574707	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	140	0.7538902759552002	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	160	0.9186713695526123	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	180	0.9896073341369629	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	25	200	1.0860512256622314	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	20	0.11547160148620605	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	40	0.2069234848022461	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	60	0.32162046432495117	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	80	0.3802008628845215	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	100	0.49239587783813477	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	120	0.6106600761413574	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	140	0.7027673721313477	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	160	0.8188929557800293	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	180	0.9126758575439453	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	26	200	1.0162205696105957	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	27	20	0.11121797561645508	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	27	40	0.19154787063598633	"Legacy composition
(Schwarz et al. 2014)"	No WGD
